OrthoGroupID	Description	#Species	#Single-Copy	#Multi-Copy	ProtMedianLength	EvoRate	BiologicalProcesses	InterProDomains
EOG091G0703	"glycosylphosphatidylinositol anchor attachment 1"	266	246	20	621	1.2288	NA	IPR007246
EOG091G073F	"branched chain keto acid dehydrogenase E1, alpha polypeptide"	269	247	22	437	0.834	GO:0008152	IPR001017;IPR029061
EOG091G074G	"CAAX prenyl protease 1"	311	275	36	452	1.0135	GO:0006508;GO:0071586	IPR001915;IPR027057;IPR032456
EOG091G074J	"autophagy related 14"	310	292	18	483	1.2868	GO:0010508	IPR018791
EOG091G074U	"intraflagellar transport 52"	318	293	25	434	1.083	GO:0001947;GO:0007224;GO:0007368;GO:0009953;GO:0042733;GO:0050680;GO:0060271	IPR019196
EOG091G075F	"phosphatidylserine synthase 1"	316	279	37	467	0.8622	GO:0006629;GO:0006659;GO:0009058	IPR004277
EOG091G075K	"Eukaryotic translation initiation factor 3 subunit E"	321	285	36	440	0.7692	NA	IPR000717;IPR011991;IPR016650;IPR019010
EOG091G0769	"Kynurenine 3-monooxygenase"	313	280	33	468	0.9857	GO:0006569;GO:0008152;GO:0019805;GO:0055114;GO:0070189	IPR002938;IPR023753;IPR027545
EOG091G0781	"THO complex 5"	306	280	26	681	1.2499	GO:0006406;GO:0030224;GO:0032786;GO:0046784;GO:2000002	IPR019163
EOG091G078D	"Mannose-6-phosphate isomerase"	298	271	27	411	1.0735	GO:0005975;GO:0009298	IPR001250;IPR011051;IPR014710;IPR016305;IPR018050
EOG091G079R	"dyskeratosis congenita 1, dyskerin"	313	293	20	506	0.7209	GO:0001522;GO:0034641	IPR002478;IPR002501;IPR004521;IPR004802;IPR012960;IPR015947;IPR020103;IPR032819
EOG091G07CE	"chaperonin containing TCP1, subunit 6B (zeta 2)"	309	216	93	531	0.7549	GO:0044267	IPR002194;IPR002423;IPR012722;IPR017998;IPR027409;IPR027410;IPR027413
EOG091G07D9	"COP9 signalosome subunit 2"	308	281	27	444	0.6203	NA	IPR000717;IPR011990;IPR011991;IPR013143
EOG091G07DR	"mannosyl-oligosaccharide glucosidase"	247	231	16	819	1.0994	GO:0009311	IPR004888;IPR008928;IPR031335;IPR031631
EOG091G07EJ	"NAD(P)-binding domain"	320	297	23	377	1.0417	GO:0009058;GO:0055114	IPR001509;IPR016040
EOG091G07FP	"AVL9 homolog (S. cerevisiase)"	310	281	29	623	1.1279	GO:0016477	IPR018307
EOG091G07IK	"eukaryotic translation initiation factor 3, subunit D"	318	280	38	548	0.7766	NA	IPR007783
EOG091G07IY	"transmembrane anterior posterior transformation 1"	308	274	34	524	0.9115	GO:0001701;GO:0009791;GO:0048706	IPR008010
EOG091G07KC	"ZPR1 zinc finger"	304	278	26	449	0.9639	NA	IPR004457
EOG091G07KL	"Protein arginine N-methyltransferase"	309	285	24	689	1.1914	GO:0006479;GO:0032259	IPR014644;IPR025799;IPR029063
EOG091G07N5	"ECSIT signalling integrator"	276	260	16	400	1.2309	GO:0051341;GO:0055114	IPR010418;IPR029342
EOG091G07N8	"anaphase promoting complex subunit 2"	307	282	25	783	1.1691	GO:0006511;GO:0009056	IPR001373;IPR011991;IPR014786;IPR016158
EOG091G07NJ	"endoplasmic reticulum lectin 1"	282	260	22	483	1.1447	GO:0030433;GO:1904153	IPR009011;IPR012913
EOG091G07OD	"phenylalanyl-tRNA synthetase 2, mitochondrial"	314	283	31	439	0.9119	GO:0006399;GO:0006418;GO:0006432;GO:0008033;GO:0034641;GO:0043039;GO:0044281	IPR002319;IPR004530;IPR005121;IPR006195
EOG091G07PH	"DTW domain containing 1"	302	294	8	304	1.1654	NA	IPR005636
EOG091G07PR	"chromosome 16 open reading frame 70"	311	286	25	422	0.8904	NA	IPR005373
EOG091G07PV	"ubiquitin-like modifier activating enzyme 2"	321	298	23	632	0.9188	GO:0006464	IPR000594;IPR016040;IPR018074;IPR019572;IPR028077;IPR030661;IPR032426
EOG091G07Q3	"xylulokinase homolog (H. influenzae)"	310	276	34	529	1.0017	GO:0005975	IPR018484;IPR018485
EOG091G07QN	"microspherule protein 1"	276	249	27	466	0.8269	NA	IPR000253;IPR008984;IPR025999
EOG091G07S9	"peptidase (mitochondrial processing) alpha"	324	291	33	521	0.8791	GO:0006508	IPR001431;IPR007863;IPR011237;IPR011249;IPR011765
EOG091G07VQ	"methyltransferase like 16"	314	289	25	515	1.1593	GO:0032259	IPR010286;IPR017182;IPR029063
EOG091G07Z0	"protein disulfide isomerase family A, member 6"	324	299	25	439	0.8378	GO:0042592	IPR005788;IPR012336;IPR013766;IPR017937
EOG091G07Z1	"aminomethyltransferase"	289	278	11	403	0.9396	GO:0006546;GO:0009056;GO:0032259;GO:0044281	IPR006222;IPR006223;IPR013977;IPR027266;IPR028896;IPR029043
EOG091G07Z5	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit"	316	301	15	439	0.7818	GO:0005975;GO:0006464;GO:0018279	IPR005013
EOG091G0803	"ALG11, alpha-1,2-mannosyltransferase"	308	282	26	482	0.9555	GO:0009058	IPR001296;IPR031814
EOG091G0814	"major facilitator superfamily domain containing 10"	307	290	17	453	1.1908	GO:0055085	IPR005829;IPR011701;IPR020846
EOG091G081C	"negative elongation factor complex member A"	290	280	10	537	0.9716	NA	IPR026305
EOG091G081H	"ecdysoneless homolog (Drosophila)"	294	276	18	638	1.3331	GO:0008283;GO:2000045	IPR010770
EOG091G085U	"Cwf19-like, C-terminal domain-1"	302	281	21	704	1.2365	GO:0008152	IPR006767;IPR006768;IPR011146
EOG091G087E	"Nucleolar complex-associated protein 3"	314	295	19	796	1.2003	NA	IPR005612;IPR011501;IPR016024;IPR016903
EOG091G088L	"Polyribonucleotide 5-hydroxyl-kinase Clp1"	291	259	32	425	0.8113	GO:0006388;GO:0031124;GO:0035087	IPR010655;IPR027417;IPR028606;IPR032319;IPR032324
EOG091G089T	"RRN3 homolog, RNA polymerase I transcription factor"	316	283	33	588	1.3246	NA	IPR015915
EOG091G08BK	"cactin, spliceosome C complex subunit"	279	250	29	692	0.8882	NA	IPR018816;IPR019134
EOG091G08D1	"NudC domain containing 1"	315	295	20	573	1.4048	NA	IPR007052;IPR008978
EOG091G08DN	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"	310	283	27	425	0.8303	GO:0006164;GO:0006189;GO:0009058;GO:0034641;GO:0044281	IPR000031;IPR013816;IPR018236;IPR028923
EOG091G08FX	"2-oxoacid dehydrogenase acyltransferase, catalytic domain"	320	271	49	454	0.7497	GO:0006099;GO:0008152	IPR000089;IPR001078;IPR003016;IPR006255;IPR011053;IPR023213
EOG091G08IJ	"FERM domain containing 8"	261	244	17	464	1.2043	NA	IPR000299;IPR014352;IPR019748;IPR019749
EOG091G08JE	"bystin-like"	300	291	9	435	0.811	GO:0001701;GO:0001825;GO:0001829;GO:0008283	IPR007955
EOG091G08JG	"N-acetylglucosamine-6-phosphate deacetylase"	305	285	20	399	0.8821	GO:0006044	IPR003764;IPR006680;IPR011059;IPR032466
EOG091G08L8	"endoplasmic reticulum protein 44"	320	288	32	406	0.8816	NA	IPR012336;IPR013766
EOG091G08LT	"leukocyte receptor cluster (LRC) member 8"	260	242	18	795	0.955	NA	IPR005062
EOG091G08NN	"cytochrome c oxidase assembly homolog 15 (yeast)"	320	302	18	406	0.8891	GO:0006784;GO:0008535;GO:0009058;GO:0034641;GO:0051186;GO:0055114	IPR003780;IPR009003;IPR023754
EOG091G08O3	"ATPase, AAA-type, core"	312	291	21	419	0.8342	GO:0034551	IPR003593;IPR003959;IPR003960;IPR014851;IPR027243;IPR027417
EOG091G08PW	"Protoporphyrinogen oxidase"	262	248	14	477	1.2433	GO:0006779;GO:0006783;GO:0009058;GO:0034641;GO:0051186;GO:0055114	IPR002937;IPR004572;IPR016040;IPR023753;IPR027418
EOG091G08R8	"Bardet-Biedl syndrome 1 protein"	255	236	19	590	1.3439	GO:0035058	IPR011047;IPR028784;IPR032728
EOG091G08RU	"Uncharacterized protein"	321	298	23	450	0.9537	GO:0055114	IPR023753
EOG091G08SM	"Arfaptin homology (AH) domain"	317	301	16	415	0.7862	NA	IPR001478;IPR010504;IPR027267;IPR030798
EOG091G08UU	"WD40 repeat"	314	282	32	342	0.6014	NA	IPR001680;IPR015943;IPR017986;IPR019775
EOG091G08V8	"phosphatidylinositol glycan anchor biosynthesis, class B"	302	293	9	515	1.2285	NA	IPR005599
EOG091G08VB	"Tetratricopeptide repeat"	320	287	33	816	1.0775	GO:0007368;GO:0035058;GO:0042384;GO:0060122;GO:0060271	IPR011990;IPR013026;IPR019734
EOG091G08Y9	"HEN1 methyltransferase homolog 1 (Arabidopsis)"	286	270	16	387	1.3355	GO:0001510	IPR026610;IPR029063
EOG091G08ZG	"death associated protein 3"	307	291	16	389	1.1829	NA	IPR008092;IPR019368;IPR027417
EOG091G08ZR	"Zinc finger, C2H2"	301	285	16	395	0.9262	GO:0006281;GO:0006950;GO:0009058;GO:0034641	IPR002035;IPR004595;IPR007087;IPR007198;IPR012170
EOG091G090D	"trafficking protein particle complex 13"	320	290	30	404	0.915	NA	IPR010378
EOG091G095O	"tRNA methyltransferase 6"	309	296	13	465	1.333	GO:0030488	IPR017423
EOG091G096V	"thyroid hormone receptor interactor 4"	317	295	22	533	1.15	NA	IPR007374;IPR009349;IPR015947
EOG091G0977	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13"	294	275	19	376	0.9286	NA	IPR000717;IPR011991
EOG091G0990	"general transcription factor IIIC, polypeptide 5, 63kDa"	298	284	14	480	1.3607	GO:0035914	IPR019136
EOG091G099D	"queuine tRNA-ribosyltransferase domain containing 1"	306	294	12	409	1.3245	GO:0006399;GO:0008616;GO:0009058;GO:0034641;GO:0044281	IPR002616;IPR028592
EOG091G09BP	"Galactokinase"	315	285	30	458	1.0339	GO:0005975;GO:0006012;GO:0008152;GO:0016310;GO:0046835	IPR000705;IPR006203;IPR006204;IPR006206;IPR013750;IPR014721;IPR019539;IPR019741;IPR020568
EOG091G09D8	"mitochondrial ribosomal protein L38"	301	283	18	380	1.1296	NA	IPR008914
EOG091G09FV	"deoxyhypusine synthase"	278	252	26	366	0.7713	GO:0006464	IPR002773;IPR029035
EOG091G09GA	"DGCR8 microprocessor complex subunit"	314	288	26	745	1.1175	GO:0031053	IPR001202;IPR014720
EOG091G09GO	"WD40 repeat"	327	306	21	368	0.7136	NA	IPR001680;IPR015943;IPR017986;IPR019775;IPR020472
EOG091G09HG	"ARP6 actin-related protein 6 homolog (yeast)"	318	300	18	396	0.8736	GO:0006338	IPR004000;IPR030054
EOG091G09HR	"vacuolar protein sorting 36 homolog (S. cerevisiae)"	315	295	20	384	0.9796	NA	IPR007286;IPR011991;IPR011993;IPR021648
EOG091G09IW	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5"	311	289	22	503	1.3963	GO:0043248	IPR011989;IPR016024;IPR019538
EOG091G09J7	"X-prolyl aminopeptidase 3, mitochondrial"	320	294	26	503	1.0885	NA	IPR000994;IPR007865;IPR028980;IPR029149
EOG091G09KI	"salvador family WW domain containing protein 1"	306	297	9	384	0.9682	GO:0035329;GO:0043065	IPR001202;IPR011524
EOG091G09KK	"beta 3-glucosyltransferase"	306	273	33	464	1.1738	NA	IPR003378
EOG091G09KX	"tRNA nucleotidyl transferase, CCA-adding, 1"	316	292	24	434	0.9548	GO:0034641	IPR002646;IPR032828
EOG091G09L6	"cyclin Pas1/PHO80 domain containing 1"	308	300	8	406	1.1792	GO:0000079	IPR013922
EOG091G09MD	"PCI domain containing 2"	297	278	19	399	0.8845	NA	IPR000717;IPR013143
EOG091G09MU	"Arginine-tRNA-protein transferase"	322	291	31	492	1.2193	GO:0006464	IPR007471;IPR007472;IPR016181;IPR017137;IPR030700
EOG091G09O7	"Ankyrin repeat"	312	285	27	415	1.0324	NA	IPR002110;IPR002893;IPR020683
EOG091G09Q2	"M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)"	316	289	27	648	1.1151	GO:0034641	IPR012173
EOG091G09QO	"malonyl CoA:ACP acyltransferase (mitochondrial)"	307	289	18	380	1.0213	GO:0008152	IPR001227;IPR014043;IPR016035;IPR016036
EOG091G09R0	"5-hydroxymethylcytosine (hmC) binding, ES cell-specific"	274	258	16	349	1.2733	NA	IPR003738
EOG091G09RJ	"splicing factor, suppressor of white-apricot family"	317	290	27	912	1.1299	GO:0034641	IPR000061;IPR019147
EOG091G09SS	"lipoyltransferase 1"	298	273	25	373	1.0984	GO:0006464;GO:0009249	IPR004143;IPR004562
EOG091G09T3	"Bardet-Biedl syndrome 4"	310	291	19	486	1.1287	GO:0035058;GO:0035845;GO:0042384;GO:0051297	IPR011990;IPR013026;IPR019734;IPR028786
EOG091G09T6	"DNA polymerase beta, N-terminal domain"	258	240	18	532	1.316	GO:0006281	IPR006166;IPR010996;IPR011335;IPR020819;IPR027420
EOG091G09U9	"tryptophanyl-tRNA synthetase"	321	292	29	430	0.7713	GO:0006399;GO:0006418;GO:0006436;GO:0034641;GO:0044281	IPR001412;IPR002305;IPR002306;IPR014729
EOG091G09UA	"jumonji domain containing 4"	302	290	12	423	1.1098	NA	IPR003347
EOG091G09UB	"tRNA methyltransferase 1 homolog (S. cerevisiae)"	270	249	21	564	1.0177	GO:0006399;GO:0008033;GO:0034641	IPR002905;IPR029063
EOG091G09V2	"asparagine synthetase domain containing 1"	314	289	25	612	1.2786	GO:0006529;GO:0009058;GO:0034641;GO:0044281	IPR001962;IPR014729;IPR017932;IPR029055
EOG091G09YB	"N-glycanase 1"	316	298	18	630	1.2389	GO:0006516;GO:0009056	IPR002931;IPR006567;IPR006588;IPR008979;IPR018997
EOG091G0A0M	"dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)"	309	295	14	406	0.9003	NA	IPR000715
EOG091G0A19	"ESF1 nucleolar pre-rRNA processing protein homolog"	307	276	31	773	1.1764	NA	IPR012580
EOG091G0A27	"Alpha-2-glucosyltransferase Alg10"	304	285	19	461	1.3233	GO:0006488	IPR016900
EOG091G0A2I	"Ribosomal protein L4/L1e"	321	269	52	397	0.789	GO:0009058	IPR002136;IPR013000;IPR023574;IPR025755
EOG091G0A2L	"Williams-Beuren syndrome chromosome region 16"	304	286	18	443	1.0579	NA	IPR000408;IPR009091
EOG091G0A5N	"splicing factor 3b, subunit 2, 145kDa"	277	249	28	760	0.7631	NA	IPR006568;IPR007180
EOG091G0A79	"histone acetyltransferase 1"	319	306	13	409	1.0822	GO:0006348;GO:0016568;GO:0016573	IPR016181;IPR017380;IPR019467
EOG091G0A98	"S-adenosyl-L-methionine-dependent methyltransferase"	318	294	24	429	1.0217	GO:0032981	IPR003788;IPR029063
EOG091G0AE2	"ALG2, alpha-1,3/1,6-mannosyltransferase"	309	301	8	407	0.9685	GO:0009058	IPR001296;IPR028098
EOG091G0AE9	"debranching RNA lariats 1"	318	301	17	536	0.971	GO:0006397;GO:0034641	IPR004843;IPR007708;IPR029052
EOG091G0AEH	"prostaglandin E synthase 2"	314	287	27	372	1.0046	GO:0042592	IPR002109;IPR004045;IPR004046;IPR010987;IPR011767;IPR012336
EOG091G0AEL	"splicing factor 1"	275	246	29	610	0.7578	NA	IPR001878;IPR004087;IPR004088;IPR031150;IPR032570
EOG091G0AFP	"NADH:ubiquinone oxidoreductase, 30kDa subunit"	321	285	36	261	0.7321	GO:0055114	IPR001268;IPR010218;IPR020396
EOG091G0AGM	"chromosome 9 open reading frame 64"	305	294	11	340	1.0788	NA	IPR019438
EOG091G0AGT	"DNA replication and sister chromatid cohesion 1"	315	303	12	391	1.2982	GO:0006275;GO:0034088;GO:0034421	IPR019128
EOG091G0AHJ	"O-sialoglycoprotein endopeptidase"	263	243	20	335	0.7296	NA	IPR000905;IPR017860;IPR017861
EOG091G0AI5	"origin recognition complex, subunit 3"	311	284	27	693	1.3783	GO:0009058;GO:0034641	IPR020795
EOG091G0AJ6	"jumonji domain containing 6"	321	307	14	400	0.7143	GO:0001568;GO:0001822;GO:0002040;GO:0007166;GO:0018395;GO:0030324;GO:0033077;GO:0042116;GO:0043277;GO:0043654;GO:0048821;GO:0070078;GO:0070079	IPR003347
EOG091G0AKM	"vacuole membrane protein 1"	281	232	49	406	0.903	GO:0010506;GO:0016337;GO:0034329	IPR032816
EOG091G0AKW	"Translation initiation factor IF2/IF5"	322	294	28	430	0.8626	NA	IPR002735;IPR003307;IPR016021;IPR016024;IPR016189;IPR016190
EOG091G0AO6	"geranylgeranyl diphosphate synthase 1"	303	283	20	300	0.7917	GO:0006629;GO:0009058	IPR000092;IPR008949;IPR017446
EOG091G0AOO	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	317	283	34	369	0.7392	GO:0006338;GO:0008285;GO:0043044	IPR006939;IPR017393
EOG091G0AQA	"chromosome 4 open reading frame 29"	311	293	18	463	1.0289	GO:0008340	IPR019149;IPR029058
EOG091G0ARE	"Signal recognition particle subunit SRP68"	325	313	12	592	1.0413	GO:0006614	IPR026258
EOG091G0ARL	"post-GPI attachment to proteins 3"	275	261	14	320	1.1956	NA	IPR007217
EOG091G0AU6	"DNA glycosylase"	268	253	15	343	1.1719	GO:0006281;GO:0006284;GO:0006950;GO:0034641	IPR003265;IPR011257;IPR012904;IPR023170
EOG091G0AVA	"RGP1 homolog, RAB6A GEF complex partner 1"	311	304	7	387	1.1522	GO:0042147;GO:1903363	IPR014848
EOG091G0AVP	"pelota homolog (Drosophila)"	297	283	14	385	0.7511	GO:0070481;GO:0070966;GO:0071025	IPR004405;IPR005140;IPR005141;IPR005142;IPR029064
EOG091G0AVW	"mitogen-activated protein kinase associated protein 1"	303	276	27	522	1.2396	GO:0021762;GO:0046580	IPR008828;IPR031313;IPR031567;IPR032679
EOG091G0AX1	"NAD kinase"	317	276	41	395	1.1661	GO:0006741;GO:0008152;GO:0019674	IPR002504;IPR012355;IPR016064;IPR017437;IPR017438
EOG091G0AYM	"transmembrane protein 129, E3 ubiquitin protein ligase"	299	288	11	362	1.181	GO:0000209;GO:0030433;GO:0030970	IPR018801
EOG091G0AZ7	"mitochondrial transcription termination factor 3"	318	305	13	390	1.1845	NA	IPR003690
EOG091G0AZV	"GLE1 RNA export mediator"	308	283	25	680	1.2524	GO:0016973	IPR012476
EOG091G0B27	"DNA methyltransferase 1 associated protein 1"	311	298	13	444	0.8823	GO:0006281;GO:0006338;GO:0043967;GO:0043968	IPR001005;IPR008468;IPR027109;IPR032563
EOG091G0B2N	"RNA binding motif protein 22"	313	287	26	419	0.6954	NA	IPR000504;IPR000571;IPR012677
EOG091G0B9B	"transmembrane protein 115"	292	278	14	355	1.0867	GO:0006486	IPR013861
EOG091G0B9T	"branched chain keto acid dehydrogenase E1, beta polypeptide"	317	295	22	361	0.7557	GO:0008152	IPR005475;IPR009014;IPR029061
EOG091G0BAG	"N(alpha)-acetyltransferase 30, NatC catalytic subunit"	309	288	21	283	0.6761	NA	IPR000182;IPR016181
EOG091G0BAM	"RCD1 required for cell differentiation1 homolog (S. pombe)"	315	287	28	299	0.6178	NA	IPR007216;IPR011989;IPR016024
EOG091G0BBO	"chromosome 16 open reading frame 58"	261	236	25	427	1.1327	NA	IPR006968
EOG091G0BCO	"zinc finger protein 622"	322	305	17	423	1.1646	NA	IPR003604;IPR007087;IPR015880;IPR022755
EOG091G0BDT	"nuclear respiratory factor 1"	301	271	30	503	0.8715	GO:0007005	IPR019525;IPR019526
EOG091G0BED	"fuzzy planar cell polarity protein"	250	233	17	412	1.3372	GO:0021513;GO:0030336;GO:0035058;GO:0045724	IPR026069
EOG091G0BG4	"taspase, threonine aspartase, 1"	303	282	21	365	1.0733	NA	IPR000246;IPR029055
EOG091G0BHP	"ubiquitin-like modifier activating enzyme 5"	317	304	13	394	0.7502	GO:0071569	IPR000594;IPR016040;IPR029752
EOG091G0BHV	"tRNA methyltransferase 61A"	316	280	36	303	0.9755	GO:0006399;GO:0030488;GO:0034641	IPR014816;IPR029063
EOG091G0BKI	"glioma tumor suppressor candidate region gene 2"	255	236	19	452	1.4002	NA	IPR011687
EOG091G0BKR	"Zinc finger, RING-type"	300	266	34	317	0.8028	GO:0000209;GO:0006464;GO:0016567	IPR001841;IPR008974;IPR013083;IPR013323;IPR015036;IPR017907;IPR018957
EOG091G0BKX	"tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase"	291	262	29	393	1.0081	GO:0006399;GO:0008033;GO:0034641	IPR004506;IPR014729;IPR023382
EOG091G0BKZ	"mitochondrial ribosomal protein L3"	315	297	18	348	1.0557	GO:0009058	IPR000597;IPR009000;IPR019926;IPR019927
EOG091G0BL9	"GPI-anchor transamidase"	311	299	12	354	0.726	GO:0006508;GO:0016255	IPR001096;IPR028361
EOG091G0BN4	"peroxisomal biogenesis factor 12"	296	285	11	334	1.3582	GO:0006605;GO:0006625;GO:0007031	IPR001841;IPR006845;IPR013083;IPR017375
EOG091G0BNI	"polymerase (DNA-directed), delta interacting protein 2"	315	294	21	342	0.7735	NA	IPR007474;IPR011722
EOG091G0BPU	"protein O-glucosyltransferase 1"	312	294	18	392	0.8724	GO:0006493;GO:0008593;GO:0072358	IPR006598
EOG091G0BPX	"short chain dehydrogenase/reductase family 39U, member 1"	295	280	15	297	1.0841	NA	IPR001509;IPR010099;IPR013549;IPR016040
EOG091G0BQF	"replication factor C (activator 1) 3, 38kDa"	319	307	12	356	0.7695	NA	IPR003593;IPR008921;IPR013748;IPR027417
EOG091G0BTX	"KRR1, small subunit (SSU) processome component, homolog (yeast)"	317	290	27	352	0.77	NA	IPR004087;IPR004088;IPR024166
EOG091G0BUD	"PAP associated domain containing 4"	309	250	59	489	1.1149	GO:0043631	IPR002058
EOG091G0BUH	"actin related protein 2/3 complex, subunit 2, 34kDa"	315	289	26	300	0.6985	GO:0030833;GO:0034314	IPR007188
EOG091G0BWJ	"mediator complex subunit 27"	296	270	26	304	1.0211	NA	IPR021627
EOG091G0BX3	"POP1 homolog, ribonuclease P/MRP subunit"	315	288	27	861	1.437	GO:0001682;GO:0006399;GO:0034641;GO:0090501	IPR009723;IPR012590
EOG091G0C2M	"DiGeorge syndrome critical region gene 14"	313	298	15	477	1.1752	NA	IPR019148
EOG091G0C2Z	"UbiA prenyltransferase domain containing 1"	297	290	7	333	0.8444	GO:0042371	IPR000537;IPR026046
EOG091G0C6I	"DNA polymerase alpha, subunit B"	271	257	14	595	1.378	GO:0009058;GO:0034641	IPR007185;IPR013627;IPR016722
EOG091G0C7Y	"CCR4-NOT transcription complex, subunit 2"	322	279	43	524	0.902	NA	IPR007282
EOG091G0C84	"ALG5, dolichyl-phosphate beta-glucosyltransferase"	315	305	10	324	0.8474	GO:0007368;GO:0008152	IPR001173;IPR029044
EOG091G0C8H	"NIN1/RPN12 binding protein 1 homolog"	294	270	24	412	1.1097	GO:0000469;GO:0007601;GO:0042274	IPR002716;IPR014881
EOG091G0C9Y	"mRNA (guanine-N(7))-methyltransferase"	322	307	15	412	1.0536	GO:0006370;GO:0006397;GO:0036265	IPR004971;IPR016899;IPR029063
EOG091G0CAR	"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	274	252	22	338	0.7137	NA	IPR016300;IPR025723;IPR027417;IPR027542
EOG091G0CEG	"cyclin H"	309	294	15	323	1.0019	GO:0000079;GO:0009058;GO:0034641	IPR006671;IPR013763;IPR027081;IPR031658
EOG091G0CEK	"3-ketodihydrosphingosine reductase"	322	311	11	331	1.0133	GO:0008152;GO:0055114	IPR002198;IPR002347;IPR016040;IPR020904
EOG091G0CEW	"clusterin associated protein 1"	319	296	23	413	1.1236	NA	IPR019366
EOG091G0CF7	"Cytoplasmic tRNA 2-thiolation protein 1"	242	208	34	342	0.8872	GO:0002098;GO:0008033;GO:0034227	IPR000541;IPR011063;IPR012089;IPR014729;IPR032442
EOG091G0CFP	"3'(2'), 5'-bisphosphate nucleotidase 1"	316	298	18	308	0.9438	GO:0006629	IPR000760;IPR020550;IPR020583
EOG091G0CGO	"zinc finger protein-like 1"	261	252	9	311	0.9975	NA	IPR001841;IPR013083
EOG091G0CH6	"solute carrier family 35 (GDP-fucose transporter), member C1"	311	293	18	336	0.9235	GO:0055085	IPR004853
EOG091G0CID	"carnosine N-methyltransferase 1"	306	292	14	382	0.9627	GO:0035498	IPR012901;IPR029063
EOG091G0CLR	"Uncharacterized protein"	309	284	25	463	1.1391	NA	IPR013176
EOG091G0CMN	"acidic repeat containing"	272	252	20	514	1.182	NA	IPR006640
EOG091G0CNT	"farnesyltransferase, CAAX box, alpha"	316	295	21	332	0.9457	GO:0006464	IPR002088
EOG091G0COC	"beclin 1, autophagy related"	305	232	73	431	0.9028	GO:0009056	IPR007243
EOG091G0CQ2	"ribosome production factor 1 homolog"	312	292	20	337	0.8653	NA	IPR004154;IPR007109
EOG091G0CR4	"transmembrane protein 185A"	304	233	71	348	0.9512	NA	IPR019396
EOG091G0CSZ	"Sulfotransferase"	316	286	30	345	0.8438	NA	IPR005331;IPR007734;IPR027417
EOG091G0CTG	"deoxyribose-phosphate aldolase (putative)"	308	290	18	318	0.8851	GO:0009264	IPR002915;IPR011343;IPR013785
EOG091G0CTU	"Mitochondrial matrix Mmp37"	304	287	17	337	1.0813	NA	IPR015222
EOG091G0CW2	"Leucine carboxyl methyltransferase"	316	303	13	321	1.0075	GO:0032259	IPR007213;IPR016651;IPR029063
EOG091G0CXE	"coiled-coil domain containing 51"	289	271	18	388	1.401	NA	IPR008839
EOG091G0CZX	"increased sodium tolerance 1 homolog (yeast)"	321	281	40	364	0.889	GO:0002230;GO:0008104;GO:0009838;GO:0019076;GO:0045184;GO:0045862;GO:0048672;GO:0051301;GO:0098779	IPR005061
EOG091G0D04	"intraflagellar transport 46"	302	279	23	330	1.0083	NA	IPR022088
EOG091G0D0D	"dynactin 2 (p50)"	287	263	24	399	1.2899	GO:0007017;GO:0007067	IPR028133
EOG091G0D0W	"protein phosphatase, Mg2+/Mn2+ dependent, 1G"	318	297	21	546	1.0268	GO:0006470	IPR000222;IPR001932;IPR015655
EOG091G0D26	"protein phosphatase 1, regulatory subunit 8"	280	264	16	351	0.9649	NA	IPR000253;IPR008984
EOG091G0D4N	"NCK interacting protein with SH3 domain"	290	265	25	696	1.179	NA	IPR001452;IPR018556
EOG091G0D7V	"ATP synthase mitochondrial F1 complex assembly factor 1"	273	261	12	276	1.1269	GO:0006461;GO:0065003	IPR010591
EOG091G0D8I	"FtsJ RNA methyltransferase homolog 1 (E. coli)"	253	212	41	318	0.8182	GO:0001510;GO:0008033;GO:0032259	IPR002877;IPR015507;IPR028590;IPR029063
EOG091G0D8N	"general transcription factor IIE, polypeptide 1, alpha 56kDa"	322	255	67	429	0.9871	GO:0006367;GO:0009058;GO:0034641	IPR002853;IPR013083;IPR017919;IPR021600;IPR024550
EOG091G0DBF	"sulfite oxidase"	267	240	27	546	0.9543	GO:0042128;GO:0055114	IPR000572;IPR001199;IPR005066;IPR008335;IPR014756;IPR018506
EOG091G0DLW	"Low temperature viability protein"	318	297	21	474	1.1555	NA	IPR007307
EOG091G0DND	"elongator acetyltransferase complex subunit 4"	306	287	19	368	1.2741	NA	IPR008728;IPR027417
EOG091G0DPL	"tafazzin"	248	227	21	262	0.9758	GO:0006644;GO:0008152	IPR000872;IPR002123
EOG091G0DQ3	"ADP-ribosylation factor GTPase activating protein 1"	305	289	16	412	1.0075	NA	IPR001164
EOG091G0DQS	"pyridine nucleotide-disulphide oxidoreductase domain 1"	324	309	15	478	1.0382	GO:0055114	IPR023753
EOG091G0DQT	"phosphatidylglycerophosphate synthase 1"	315	300	15	512	1.0739	GO:0008654	IPR001736;IPR016270
