manuscript	dataset	partition_name	cluster_number
Ryan2013	genome.opisthokonta	gene92	36
Borowiec2015	Total1080	OG890.fasta.aln_gene974	36
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14482-42-Calc_Hmm10-BMGE05	36
Hejnol2009	Hejnol2009	Tribe1736_0	36
Ryan2013	est.opisthokonta	gene34	36
Borowiec2015	Best108	OG890.fasta.aln_gene104	36
Dunn2008	Dunn2008	Tribe1489	36
Whelan2015	Dataset1_FullData	Gene_0950	37
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0950	37
Moroz2014	ED3d	0950	37
Whelan2017	Metazoa_full	Subset8_03	37
Borowiec2015	Total1080	OG1052.fasta.aln_gene49	37
Hejnol2009	Hejnol2009	Tribe3990_0	37
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0950	37
Philippe2009	Philippe2009	rps9	38
Borowiec2015	Total1080	OG274.fasta.aln_gene322	38
Ryan2013	est.opisthokonta	gene297	38
Hejnol2009	Hejnol2009	Tribe1170_0	38
Philippe2009	Philippe2009	rrp46-B	38
Chang2015	Chang2015	tif2a	38
Nosenko2013	ribosomal_14615_smatrix	KOG2916	38
Chang2015	Chang2015	arc20	39
Ryan2013	genome.opisthokonta	gene136	39
Dunn2008	Dunn2008	Tribe1051	39
Philippe2009	Philippe2009	arc20	39
Ryan2013	est.opisthokonta	gene165	39
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14606-42-Calc_Hmm10-BMGE05	39
Hejnol2009	Hejnol2009	Tribe1382_0	39
Whelan2017	Metazoa_Choano_RCFV_strict	Subset10_01	40
Moroz2014	ED3d	0509	40
Whelan2017	Metazoa_full	Subset21_05	40
Whelan2017	Metazoa_full	Subset4_11	40
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12674-42-Calc_Hmm10-BMGE05	40
Whelan2017	Metazoa_full	Subset4_06	40
Chang2015	Chang2015	glcn	40
Philippe2009	Philippe2009	if1a	41
Chang2015	Chang2015	if1a	41
Hejnol2009	Hejnol2009	Tribe898_0	41
Nosenko2013	ribosomal_11057_smatrix	KOG3403	41
Ryan2013	est.opisthokonta	gene85	41
Nosenko2013	ribosomal_14615_smatrix	KOG3403	41
Dunn2008	Dunn2008	Tribe696	41
Nosenko2013	ribosomal_11057_smatrix	KOG2309	42
Whelan2017	Metazoa_Choano_RCFV_strict	Subset1	42
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12918-42-Calc_Hmm10-BMGE05	42
Philippe2009	Philippe2009	rpl1	42
Dunn2008	Dunn2008	Tribe184	42
Nosenko2013	ribosomal_14615_smatrix	KOG2309	42
Chang2015	Chang2015	rpl2	42
Philippe2009	Philippe2009	rpl34	43
Chang2015	Chang2015	rpp0	43
Ryan2013	genome.opisthokonta	gene193	43
Nosenko2013	ribosomal_11057_smatrix	KOG0815	43
Philippe2009	Philippe2009	rpl35	43
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12274-42-Calc_Hmm10-BMGE05	43
Nosenko2013	ribosomal_14615_smatrix	KOG0815	43
Philippe2009	Philippe2009	rps17	44
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12820-42-Calc_Hmm10-BMGE05	44
Chang2015	Chang2015	rps4	44
Nosenko2013	ribosomal_11057_smatrix	KOG0378	44
Ryan2013	est.opisthokonta	gene46	44
Nosenko2013	ribosomal_14615_smatrix	KOG0378	44
Philippe2009	Philippe2009	rps18	44
Chang2015	Chang2015	vate	45
Philippe2009	Philippe2009	srs	45
Philippe2009	Philippe2009	srp54	45
Moroz2014	ED3a	0646	45
Whelan2015	Dataset1_FullData	Gene_0585	45
Chang2015	Chang2015	vatb	45
Moroz2014	ED3a	0585	45
Whelan2015	Dataset1_FullData	Gene_0622	46
Whelan2017	Metazoa_full	Subset15_02	46
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0622	46
Hejnol2009	Hejnol2009	Tribe2131_0	46
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0622	46
Ryan2013	est.opisthokonta	gene357	46
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14104-42-Calc_Hmm10-BMGE05	46
Hejnol2009	Hejnol2009	Tribe3426_0	47
Moroz2014	ED3a	0626	47
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META16417-42-Calc_Hmm10-BMGE05	47
Whelan2015	Dataset1_FullData	Gene_0626	47
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0626	47
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0626	47
Moroz2014	ED3d	0626	47
Borowiec2015	Best108	OG1011.fasta.aln_gene4	48
Hejnol2009	Hejnol2009	Tribe1169_0	48
Chang2015	Chang2015	pace2	48
Borowiec2015	Total1080	OG1011.fasta.aln_gene11	48
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11065-2-42-Calc_Hmm10-BMGE05	48
Ryan2013	est.opisthokonta	gene152	48
Dunn2008	Dunn2008	Tribe143	49
Chang2015	Chang2015	rpl9	49
Borowiec2015	Total1080	OG253.fasta.aln_gene300	49
Philippe2009	Philippe2009	rpl33a	49
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13546-42-Calc_Hmm10-BMGE05	49
Borowiec2015	Best108	OG253.fasta.aln_gene28	49
Dunn2008	Dunn2008	Tribe700	50
Borowiec2015	Best108	OG430.fasta.aln_gene52	50
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14188-42-Calc_Hmm10-BMGE05	50
Borowiec2015	Total1080	OG430.fasta.aln_gene491	50
Ryan2013	est.opisthokonta	gene140	50
Hejnol2009	Hejnol2009	Tribe926_0	50
Chang2015	Chang2015	rps16	51
Nosenko2013	ribosomal_14615_smatrix	KOG1753	51
Dunn2008	Dunn2008	Tribe242	51
Nosenko2013	ribosomal_11057_smatrix	KOG1753	51
Borowiec2015	Total1080	OG440.fasta.aln_gene501	51
Borowiec2015	Best108	OG440.fasta.aln_gene55	51
Hejnol2009	Hejnol2009	Tribe1263_0	52
Ryan2013	genome.opisthokonta	gene224	52
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11141-2-42-Calc_Hmm10-BMGE05	52
Ryan2013	est.opisthokonta	gene53	52
Borowiec2015	Total1080	OG518.fasta.aln_gene581	52
Borowiec2015	Best108	OG518.fasta.aln_gene64	52
Ryan2013	genome.opisthokonta	gene16	53
Hejnol2009	Hejnol2009	Tribe2457_0	53
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14098-42-Calc_Hmm10-BMGE05	53
Borowiec2015	Total1080	OG803.fasta.aln_gene881	53
Borowiec2015	Best108	OG803.fasta.aln_gene95	53
Ryan2013	est.opisthokonta	gene349	53
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0268	54
Whelan2017	Metazoa_full	Subset21_02	54
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0268	54
Borowiec2015	Total1080	OG341.fasta.aln_gene394	54
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14030-42-Calc_Hmm10-BMGE05	54
Whelan2015	Dataset1_FullData	Gene_0268	54
Borowiec2015	Total1080	OG481.fasta.aln_gene544	55
Moroz2014	ED3a	0995	55
Whelan2017	Metazoa_Choano_RCFV_strict	Subset2_01	55
Hejnol2009	Hejnol2009	Tribe3581_0	55
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13833-42-Calc_Hmm10-BMGE05	55
Ryan2013	genome.opisthokonta	gene9	55
Philippe2009	Philippe2009	psmb-L	56
Ryan2013	est.opisthokonta	gene291	56
Nosenko2013	ribosomal_11057_smatrix	KOG3295	56
Nosenko2013	ribosomal_14615_smatrix	KOG3295	56
Chang2015	Chang2015	rpl13	56
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12931-42-Calc_Hmm10-BMGE05	56
Dunn2008	Dunn2008	Tribe232	57
Philippe2009	Philippe2009	rpl11b	57
Chang2015	Chang2015	rpl20	57
Nosenko2013	ribosomal_11057_smatrix	KOG0829	57
Nosenko2013	ribosomal_14615_smatrix	KOG0829	57
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13092-42-Calc_Hmm10-BMGE05	57
Hejnol2009	Hejnol2009	Tribe297_0	58
Nosenko2013	ribosomal_14615_smatrix	KOG1742	58
Chang2015	Chang2015	rpl27	58
Philippe2009	Philippe2009	rpl17	58
Nosenko2013	ribosomal_11057_smatrix	KOG1742	58
Dunn2008	Dunn2008	Tribe193	58
Philippe2009	Philippe2009	rpl19a	59
Nosenko2013	ribosomal_11057_smatrix	KOG0746	59
Chang2015	Chang2015	rpl3	59
Nosenko2013	ribosomal_14615_smatrix	KOG0746	59
Dunn2008	Dunn2008	Tribe156	59
Philippe2009	Philippe2009	rpl18	59
Dunn2008	Dunn2008	Tribe305	60
Nosenko2013	ribosomal_14615_smatrix	KOG3436	60
Chang2015	Chang2015	rpl35	60
Ryan2013	est.opisthokonta	gene355	60
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13964-42-Calc_Hmm10-BMGE05	60
Nosenko2013	ribosomal_11057_smatrix	KOG3436	60
Ryan2013	genome.opisthokonta	gene95	61
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12799-42-Calc_Hmm10-BMGE05	61
Nosenko2013	ribosomal_14615_smatrix	KOG1628	61
Chang2015	Chang2015	rps1	61
Nosenko2013	ribosomal_11057_smatrix	KOG1628	61
Philippe2009	Philippe2009	rpl37a	61
Nosenko2013	ribosomal_11057_smatrix	KOG3344	62
Ryan2013	est.opisthokonta	gene258	62
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13241-42-Calc_Hmm10-BMGE05	62
Chang2015	Chang2015	rps10	62
Nosenko2013	ribosomal_14615_smatrix	KOG3344	62
Philippe2009	Philippe2009	rpl42	62
Chang2015	Chang2015	rps11	63
Dunn2008	Dunn2008	Tribe273	63
Ryan2013	est.opisthokonta	gene242	63
Nosenko2013	ribosomal_11057_smatrix	KOG1728	63
Nosenko2013	ribosomal_14615_smatrix	KOG1728	63
Philippe2009	Philippe2009	rpl43b	63
Chang2015	Chang2015	rps6	64
Nosenko2013	ribosomal_11057_smatrix	KOG1646	64
Moroz2014	ED3a	0734	64
Nosenko2013	ribosomal_14615_smatrix	KOG1646	64
Ryan2013	genome.opisthokonta	gene101	64
Philippe2009	Philippe2009	rps2	64
Philippe2009	Philippe2009	rps6	65
Chang2015	Chang2015	suca	65
Philippe2009	Philippe2009	rps7	65
Chang2015	Chang2015	stbproptase2a	65
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12120-2-42-Calc_Hmm10-BMGE05	65
Philippe2009	Philippe2009	rps8	65
Whelan2017	Metazoa_full	Subset4_02	66
Ryan2013	est.opisthokonta	gene89	66
Whelan2015	Dataset1_FullData	Gene_0044	66
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0044	66
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0044	66
Dunn2008	Dunn2008	Tribe340	66
Ryan2013	est.opisthokonta	gene25	67
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0070	67
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0070	67
Whelan2015	Dataset1_FullData	Gene_0070	67
Hejnol2009	Hejnol2009	Tribe2039_0	67
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13245-42-Calc_Hmm10-BMGE05	67
Ryan2013	est.opisthokonta	gene327	68
Whelan2015	Dataset1_FullData	Gene_0920	68
Hejnol2009	Hejnol2009	Tribe2322_0	68
Moroz2014	ED3a	0920	68
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0920	68
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0920	68
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0654	69
Whelan2017	Metazoa_full	Subset20_03	69
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14040-42-Calc_Hmm10-BMGE05	69
Hejnol2009	Hejnol2009	Tribe3284_0	69
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0654	69
Whelan2015	Dataset1_FullData	Gene_0654	69
Whelan2017	Metazoa_full	Subset11_01	70
Whelan2015	Dataset1_FullData	Gene_0077	70
Whelan2017	Metazoa_full	Subset11_02	70
Ryan2013	est.opisthokonta	gene37	70
Whelan2017	Metazoa_Choano_RCFV_strict	Subset9	70
Moroz2014	ED3a	0077	70
Philippe2009	Philippe2009	nsf1-L	71
Philippe2009	Philippe2009	nsf1-K	71
Chang2015	Chang2015	ornamtrans	71
Whelan2017	Metazoa_full	Subset25_01	71
Philippe2009	Philippe2009	nsf1-M	71
Chang2015	Chang2015	nsf2_01	71
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12465-42-Calc_Hmm10-BMGE05	72
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0064	72
Ryan2013	est.opisthokonta	gene10	72
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0064	72
Whelan2015	Dataset1_FullData	Gene_0064	72
Whelan2017	Metazoa_full	Subset3_02	72
Moroz2014	ED3a	0425	73
Hejnol2009	Hejnol2009	Tribe2723_0	73
Borowiec2015	Best108	OG1111.fasta.aln_gene6	73
Ryan2013	est.opisthokonta	gene33	73
Borowiec2015	Total1080	OG1111.fasta.aln_gene103	73
Borowiec2015	Total1080	OG294.fasta.aln_gene344	74
Whelan2017	Metazoa_full	Subset31_02	74
Ryan2013	est.opisthokonta	gene208	74
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10658-2-42-Calc_Hmm10-BMGE05	74
Borowiec2015	Best108	OG294.fasta.aln_gene33	74
Ryan2013	est.opisthokonta	gene289	75
Borowiec2015	Best108	OG482.fasta.aln_gene59	75
Borowiec2015	Total1080	OG482.fasta.aln_gene545	75
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14056-42-Calc_Hmm10-BMGE05	75
Hejnol2009	Hejnol2009	Tribe1795_0	75
Hejnol2009	Hejnol2009	Tribe1657_0	76
Ryan2013	est.opisthokonta	gene36	76
Ryan2013	genome.opisthokonta	gene100	76
Borowiec2015	Best108	OG726.fasta.aln_gene90	76
Borowiec2015	Total1080	OG726.fasta.aln_gene798	76
Ryan2013	est.opisthokonta	gene127	77
Borowiec2015	Best108	OG835.fasta.aln_gene98	77
Hejnol2009	Hejnol2009	Tribe1348_0	77
Ryan2013	genome.opisthokonta	gene163	77
Borowiec2015	Total1080	OG835.fasta.aln_gene915	77
Borowiec2015	Total1080	OG954.fasta.aln_gene1039	78
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META10380-2-42-Calc_Hmm10-BMGE05	78
Borowiec2015	Best108	OG954.fasta.aln_gene107	78
Moroz2014	ED3d	1035	78
Ryan2013	est.opisthokonta	gene228	78
Moroz2014	ED3a	0893	79
Ryan2013	est.opisthokonta	gene70	79
Whelan2017	Metazoa_Choano_RCFV_strict	Subset29_01	79
Borowiec2015	Total1080	OG1156.fasta.aln_gene149	79
Whelan2017	Metazoa_full	Subset24_04	79
Philippe2009	Philippe2009	crfg	80
Chang2015	Chang2015	crfg	80
Borowiec2015	Total1080	OG128.fasta.aln_gene168	80
Moroz2014	ED3a	0026	80
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META12716-42-Calc_Hmm10-BMGE05	80
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0314	81
Whelan2015	Dataset1_FullData	Gene_0314	81
Borowiec2015	Total1080	OG156.fasta.aln_gene196	81
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0314	81
Ryan2013	genome.opisthokonta	gene132	81
Chang2015	Chang2015	rpl21	82
Borowiec2015	Total1080	OG326.fasta.aln_gene378	82
Philippe2009	Philippe2009	rpl12b	82
Nosenko2013	ribosomal_11057_smatrix	KOG1732	82
Nosenko2013	ribosomal_14615_smatrix	KOG1732	82
Borowiec2015	Total1080	OG329.fasta.aln_gene381	83
Ryan2013	est.opisthokonta	gene333	83
Ryan2013	genome.opisthokonta	gene78	83
Hejnol2009	Hejnol2009	Tribe2144_0	83
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14140-42-Calc_Hmm10-BMGE05	83
Hejnol2009	Hejnol2009	Tribe2206_0	84
Philippe2009	Philippe2009	if2g	84
Chang2015	Chang2015	if2g	84
Borowiec2015	Total1080	OG337.fasta.aln_gene389	84
Nosenko2013	ribosomal_14615_smatrix	KOG0466	84
Ryan2013	est.opisthokonta	gene221	85
Dunn2008	Dunn2008	Tribe179	85
Borowiec2015	Total1080	OG360.fasta.aln_gene415	85
Hejnol2009	Hejnol2009	Tribe276_0	85
Chang2015	Chang2015	rpl18	85
Nosenko2013	ribosomal_11057_smatrix	KOG2646	86
Nosenko2013	ribosomal_14615_smatrix	KOG2646	86
Chang2015	Chang2015	rps5	86
Philippe2009	Philippe2009	rps19	86
Borowiec2015	Total1080	OG428.fasta.aln_gene488	86
Whelan2015	Dataset1_FullData	Gene_0696	87
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0696	87
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0696	87
Borowiec2015	Total1080	OG490.fasta.aln_gene554	87
Hejnol2009	Hejnol2009	Tribe3202_0	87
Hejnol2009	Hejnol2009	Tribe1796_0	88
Ryan2013	est.opisthokonta	gene114	88
Moroz2014	ED3a	0055	88
Borowiec2015	Total1080	OG494.fasta.aln_gene558	88
Whelan2017	Metazoa_full	Subset7_01	88
Hejnol2009	Hejnol2009	Tribe1313_0	89
Nosenko2013	ribosomal_14615_smatrix	KOG2768	89
Chang2015	Chang2015	if2b	89
Philippe2009	Philippe2009	if2b	89
Borowiec2015	Total1080	OG533.fasta.aln_gene596	89
Ryan2013	est.opisthokonta	gene250	90
Nosenko2013	ribosomal_14615_smatrix	KOG3452	90
Chang2015	Chang2015	rpl36	90
Borowiec2015	Total1080	OG540.fasta.aln_gene604	90
Dunn2008	Dunn2008	Tribe319	90
Hejnol2009	Hejnol2009	Tribe1733_0	91
Ryan2013	est.opisthokonta	gene363	91
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13799-42-Calc_Hmm10-BMGE05	91
Moroz2014	ED3a	0474	91
Borowiec2015	Total1080	OG598.fasta.aln_gene663	91
Borowiec2015	Total1080	OG663.fasta.aln_gene730	92
Nosenko2013	ribosomal_11057_smatrix	KOG1768	92
Philippe2009	Philippe2009	rps13a	92
Chang2015	Chang2015	rps26	92
Nosenko2013	ribosomal_14615_smatrix	KOG1768	92
Moroz2014	ED3a	0558	93
Ryan2013	est.opisthokonta	gene110	93
Philippe2009	Philippe2009	ef2-EF2	93
Chang2015	Chang2015	ef2_01	93
Nosenko2013	ribosomal_14615_smatrix	KOG0469	93
Chang2015	Chang2015	rpl23a	94
Philippe2009	Philippe2009	rpl13	94
Dunn2008	Dunn2008	Tribe235	94
Nosenko2013	ribosomal_14615_smatrix	KOG0901	94
Nosenko2013	ribosomal_11057_smatrix	KOG1751	94
Ryan2013	est.opisthokonta	gene274	95
Nosenko2013	ribosomal_11057_smatrix	KOG0878	95
Chang2015	Chang2015	rpl32	95
Nosenko2013	ribosomal_14615_smatrix	KOG0878	95
Philippe2009	Philippe2009	rpl20	95
Nosenko2013	ribosomal_11057_smatrix	KOG0402	96
Chang2015	Chang2015	rpl43b	96
Whelan2017	Metazoa_full	Subset40_01	96
Nosenko2013	ribosomal_14615_smatrix	KOG0402	96
Whelan2017	Metazoa_Choano_RCFV_strict	Subset31	96
Chang2015	Chang2015	rpl4B	97
Nosenko2013	ribosomal_14615_smatrix	KOG1475_01	97
Philippe2009	Philippe2009	rpl27	97
Nosenko2013	ribosomal_11057_smatrix	KOG1475_01	97
Philippe2009	Philippe2009	rpl26	97
Nosenko2013	ribosomal_11057_smatrix	KOG3184	98
Philippe2009	Philippe2009	rpl31	98
Philippe2009	Philippe2009	rpl32	98
Nosenko2013	ribosomal_14615_smatrix	KOG3184	98
Chang2015	Chang2015	rpl7	98
Chang2015	Chang2015	rps17	99
Nosenko2013	ribosomal_11057_smatrix	KOG0187	99
Ryan2013	est.opisthokonta	gene323	99
Dunn2008	Dunn2008	Tribe299	99
Nosenko2013	ribosomal_14615_smatrix	KOG0187	99
Philippe2009	Philippe2009	rpl7-A	100
Nosenko2013	ribosomal_14615_smatrix	KOG3311	100
Nosenko2013	ribosomal_11057_smatrix	KOG3311	100
Dunn2008	Dunn2008	Tribe211	100
Chang2015	Chang2015	rps18	100
Philippe2009	Philippe2009	rpl9	101
Nosenko2013	ribosomal_11057_smatrix	KOG3411	101
Dunn2008	Dunn2008	Tribe260	101
Nosenko2013	ribosomal_14615_smatrix	KOG3411	101
Chang2015	Chang2015	rps19	101
Nosenko2013	ribosomal_14615_smatrix	KOG3283	102
Philippe2009	Philippe2009	rps23	102
Dunn2008	Dunn2008	Tribe186	102
Nosenko2013	ribosomal_11057_smatrix	KOG3283	102
Chang2015	Chang2015	rps8	102
Chang2015	Chang2015	tribe1099	103
Dunn2008	Dunn2008	Tribe1099	103
Hejnol2009	Hejnol2009	Tribe1219_0	103
Whelan2017	Metazoa_full	Subset2_21	103
Ryan2013	est.opisthokonta	gene137	103
Chang2015	Chang2015	tribe1294	104
Hejnol2009	Hejnol2009	Tribe1790_0	104
Ryan2013	genome.opisthokonta	gene11	104
Dunn2008	Dunn2008	Tribe1294	104
Ryan2013	est.opisthokonta	gene61	104
Ryan2013	est.opisthokonta	gene207	105
Dunn2008	Dunn2008	Tribe629	105
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13784-42-Calc_Hmm10-BMGE05	105
Chang2015	Chang2015	tribe629_01	105
Hejnol2009	Hejnol2009	Tribe742_0	105
Dunn2008	Dunn2008	Tribe942	106
Chang2015	Chang2015	tribe942	106
Ryan2013	est.opisthokonta	gene282	106
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13829-42-Calc_Hmm10-BMGE05	106
Hejnol2009	Hejnol2009	Tribe1471_0	106
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0848	107
Whelan2015	Dataset1_FullData	Gene_0848	107
Chang2015	Chang2015	vatpased	107
Hejnol2009	Hejnol2009	Tribe1465_0	107
Moroz2014	ED3a	0848	107
Ryan2013	est.opisthokonta	gene283	108
Dunn2008	Dunn2008	Tribe1181	108
Moroz2014	ED3a	0042	108
Hejnol2009	Hejnol2009	Tribe1555_0	108
Ryan2013	genome.opisthokonta	gene176	108
Whelan2017	Metazoa_full	Subset15_01	109
Hejnol2009	Hejnol2009	Tribe1526_0	109
Ryan2013	est.opisthokonta	gene92	109
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14923-42-Calc_Hmm10-BMGE05	109
Moroz2014	ED3d	0139	109
Hejnol2009	Hejnol2009	Tribe1680_0	110
Ryan2013	est.opisthokonta	gene298	110
Whelan2015	Dataset1_FullData	Gene_0158	110
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0158	110
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0158	110
Hejnol2009	Hejnol2009	Tribe2800_0	111
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0657	111
Whelan2017	Metazoa_full	Subset35_01	111
Whelan2015	Dataset1_FullData	Gene_0657	111
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0657	111
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0346	112
Moroz2014	ED3a	0346	112
Ryan2013	est.opisthokonta	gene353	112
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0346	112
Whelan2015	Dataset1_FullData	Gene_0346	112
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0289	113
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13529-42-Calc_Hmm10-BMGE05	113
Whelan2015	Dataset1_FullData	Gene_0289	113
Moroz2014	ED3d	0289	113
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0289	113
Ryan2013	est.opisthokonta	gene102	114
Ryan2013	genome.opisthokonta	gene73	114
Whelan2015	Dataset10_CertainPruned_LBAtaxa_LBAandHeteroGenesPruned	Gene_0645	114
Whelan2015	Dataset1_FullData	Gene_0645	114
Whelan2015	Datset20_Uncertain_LBAgenesHeteroRemoved_LBAtaxa	Gene_0645	114
Chang2015	Chang2015	hsp70	115
Philippe2009	Philippe2009	hsp70-E	115
Borowiec2015	Total1080	OG1064.fasta.aln_gene61	115
Borowiec2015	Best108	OG1064.fasta.aln_gene5	115
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META11095-2-42-Calc_Hmm10-BMGE05	116
Borowiec2015	Total1080	OG1155.fasta.aln_gene148	116
Nosenko2013	ribosomal_14615_smatrix	KOG2573	116
Borowiec2015	Best108	OG1155.fasta.aln_gene11	116
Borowiec2015	Best108	OG201.fasta.aln_gene21	117
Borowiec2015	Total1080	OG201.fasta.aln_gene244	117
Hejnol2009	Hejnol2009	Tribe2563_0	117
Ryan2013	genome.opisthokonta	gene3	117
Borowiec2015	Best108	OG263.fasta.aln_gene29	118
Ryan2013	est.opisthokonta	gene59	118
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14499-42-Calc_Hmm10-BMGE05	118
Borowiec2015	Total1080	OG263.fasta.aln_gene311	118
Borowiec2015	Best108	OG327.fasta.aln_gene39	119
Hejnol2009	Hejnol2009	Tribe1698_0	119
Borowiec2015	Total1080	OG327.fasta.aln_gene379	119
Ryan2013	est.opisthokonta	gene56	119
Philippe2009	Philippe2009	cct-B	120
Borowiec2015	Total1080	OG5.fasta.aln_gene666	120
Chang2015	Chang2015	cct	120
Borowiec2015	Best108	OG5.fasta.aln_gene77	120
Borowiec2015	Total1080	OG581.fasta.aln_gene645	121
Borowiec2015	Best108	OG581.fasta.aln_gene74	121
Hejnol2009	Hejnol2009	Tribe2976_0	121
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META14041-42-Calc_Hmm10-BMGE05	121
Ryan2013	genome.opisthokonta	gene76	122
Moroz2014	ED3a	0251	122
Borowiec2015	Best108	OG716.fasta.aln_gene89	122
Borowiec2015	Total1080	OG716.fasta.aln_gene788	122
Borowiec2015	Total1080	OG1065.fasta.aln_gene62	123
Philippe2009	Philippe2009	hsp70-mt	123
Chang2015	Chang2015	hsp70_01	123
Moroz2014	ED3a	0367	123
Hejnol2009	Hejnol2009	Tribe732_0	124
Ryan2013	est.opisthokonta	gene376	124
Simion2017	supermatrix_97sp_401632pos_1719genes	V2META13384-42-Calc_Hmm10-BMGE05	124
Borowiec2015	Total1080	OG1158.fasta.aln_gene151	124
Nosenko2013	ribosomal_14615_smatrix	KOG1627	125
Ryan2013	genome.opisthokonta	gene35	125
Nosenko2013	ribosomal_11057_smatrix	KOG1627	125
Borowiec2015	Total1080	OG164.fasta.aln_gene205	125
Hejnol2009	Hejnol2009	Tribe523_0	126
Ryan2013	est.opisthokonta	gene290	126
